N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0460448,1.03688,0.02,0.3,,,0.01,-0.070625,0.08,0.25
-0.0460136,1.03678,0.025,0.3,,,-0.02,-0.080625,0.09,0.25
-0.0459824,1.03667,0.03,0.3,,,-0.05,-0.090625,0.1,0.25
-0.0459512,1.03656,0.015,0.31,,,-0.08,-0.100625,0.11,0.25
-0.0459199,1.03646,0.02,0.31,,,-0.11,-0.110625,0.12,0.25
-0.0458886,1.03635,0.025,0.31,,,-0.14,-0.120625,0.13,0.25
-0.0458573,1.03624,0.03,0.31,,,-0.17,-0.130625,0.14,0.25
-0.0458259,1.03614,0.02,0.32,,,-0.2,-0.140625,0.15,0.25
-0.0457945,1.03603,0.025,0.32,,,0.45,0.071,-0.05,0.3
-0.0457631,1.03592,0.03,0.32,,,0.42,0.061,-0.04,0.3
-0.0457316,1.03582,0.035,0.32,,,0.39,0.051,-0.03,0.3
-0.0457002,1.03571,0.02,0.33,,,0.36,0.041,-0.02,0.3
-0.0456687,1.0356,0.025,0.33,,,0.33,0.031,-0.01,0.3
-0.0456371,1.03549,0.03,0.33,,,0.3,0.021,3.46945e-18,0.3
-0.0456056,1.03539,0.035,0.33,,,0.27,0.011,0.01,0.3
-0.045574,1.03528,0.025,0.34,,,0.24,0.001,0.02,0.3
-0.0455424,1.03517,0.03,0.34,,,0.21,-0.009,0.03,0.3
-0.0455108,1.03506,0.035,0.34,,,0.18,-0.019,0.04,0.3
-0.0454791,1.03496,0.04,0.34,,,0.15,-0.029,0.05,0.3
-0.0454474,1.03485,0.025,0.35,,,0.12,-0.039,0.06,0.3
-0.0454157,1.03474,0.03,0.35,,,0.09,-0.049,0.07,0.3
-0.045384,1.03463,0.035,0.35,,,0.06,-0.059,0.08,0.3
-0.0453522,1.03453,0.04,0.35,,,0.03,-0.069,0.09,0.3
-0.0453204,1.03442,0.03,0.36,,,0,-0.079,0.1,0.3
-0.0452886,1.03431,0.035,0.36,,,-0.03,-0.089,0.11,0.3
-0.0452568,1.0342,0.04,0.36,,,-0.06,-0.099,0.12,0.3
-0.0452249,1.03409,0.045,0.36,,,-0.09,-0.109,0.13,0.3
-0.0451931,1.03399,0.03,0.37,,,-0.12,-0.119,0.14,0.3
-0.0451612,1.03388,0.035,0.37,,,-0.15,-0.129,0.15,0.3
-0.0451292,1.03377,0.04,0.37,,,0.5,0.084125,-0.05,0.35
-0.0450973,1.03366,0.045,0.37,,,0.47,0.074125,-0.04,0.35
-0.0450653,1.03355,0.035,0.38,,,0.44,0.064125,-0.03,0.35
-0.0450334,1.03345,0.04,0.38,,,0.41,0.054125,-0.02,0.35
-0.0450014,1.03334,0.045,0.38,,,0.38,0.044125,-0.01,0.35
-0.0449693,1.03323,0.05,0.38,,,0.35,0.034125,3.46945e-18,0.35
-0.0449373,1.03312,0.04,0.39,,,0.32,0.024125,0.01,0.35
-0.0449052,1.03301,0.045,0.39,,,0.29,0.014125,0.02,0.35
-0.0448732,1.0329,0.05,0.39,,,0.26,0.004125,0.03,0.35
-0.0448411,1.0328,0.055,0.39,,,0.23,-0.005875,0.04,0.35
-0.0448089,1.03269,0.04,0.4,,,0.2,-0.015875,0.05,0.35
-0.0447768,1.03258,0.045,0.4,,,0.17,-0.025875,0.06,0.35
-0.0447447,1.03247,0.05,0.4,,,0.14,-0.035875,0.07,0.35
-0.0447125,1.03236,0.055,0.4,,,0.11,-0.045875,0.08,0.35
-0.0446803,1.03225,0.045,0.41,,,0.08,-0.055875,0.09,0.35
-0.0446481,1.03214,0.05,0.41,,,0.05,-0.065875,0.1,0.35
-0.0446159,1.03204,0.055,0.41,,,0.02,-0.075875,0.11,0.35
-0.0445836,1.03193,0.06,0.41,,,-0.01,-0.085875,0.12,0.35
-0.0445514,1.03182,0.045,0.42,,,-0.04,-0.095875,0.13,0.35
-0.0445191,1.03171,0.05,0.42,,,-0.07,-0.105875,0.14,0.35
-0.0444868,1.0316,0.055,0.42,,,-0.1,-0.115875,0.15,0.35
-0.0444545,1.03149,0.06,0.42,,,0.55,0.098,-0.05,0.4
