V,K_I,Na_I,L_I,HCN_I
1.02389,7.25633e-05,-0.0260204,-2.87283,0.0461306
1.02674,7.34331e-05,-0.0262141,-2.87198,0.0463249
1.0296,7.43108e-05,-0.0264085,-2.87112,0.0465196
1.03245,7.51963e-05,-0.0266035,-2.87027,0.0467145
1.0353,7.60899e-05,-0.0267992,-2.86941,0.0469097
1.03815,7.69915e-05,-0.0269956,-2.86856,0.0471053
1.04099,7.79011e-05,-0.0271926,-2.8677,0.0473011
1.04384,7.88189e-05,-0.0273903,-2.86685,0.0474973
1.04669,7.97448e-05,-0.0275886,-2.86599,0.0476937
1.04953,8.06789e-05,-0.0277876,-2.86514,0.0478905
1.05238,8.16213e-05,-0.0279873,-2.86429,0.0480876
1.05522,8.2572e-05,-0.0281876,-2.86343,0.048285
1.05807,8.35311e-05,-0.0283885,-2.86258,0.0484827
1.06091,8.44986e-05,-0.0285901,-2.86173,0.0486807
1.06375,8.54746e-05,-0.0287924,-2.86087,0.048879
1.06659,8.6459e-05,-0.0289953,-2.86002,0.0490776
1.06943,8.74521e-05,-0.0291988,-2.85917,0.0492765
1.07227,8.84537e-05,-0.029403,-2.85832,0.0494757
1.07511,8.9464e-05,-0.0296078,-2.85747,0.0496753
1.07795,9.0483e-05,-0.0298133,-2.85662,0.0498751
1.08078,9.15108e-05,-0.0300194,-2.85577,0.0500752
1.08362,9.25474e-05,-0.0302261,-2.85491,0.0502757
1.08645,9.35929e-05,-0.0304335,-2.85406,0.0504764
1.08929,9.46473e-05,-0.0306415,-2.85321,0.0506775
1.09212,9.57107e-05,-0.0308502,-2.85236,0.0508788
1.09495,9.67831e-05,-0.0310594,-2.85151,0.0510805
1.09778,9.78646e-05,-0.0312693,-2.85067,0.0512824
1.10061,9.89552e-05,-0.0314799,-2.84982,0.0514847
1.10344,0.000100055,-0.0316911,-2.84897,0.0516873
1.10627,0.000101164,-0.0319028,-2.84812,0.0518901
1.1091,0.000102282,-0.0321153,-2.84727,0.0520933
1.11193,0.00010341,-0.0323283,-2.84642,0.0522967
1.11475,0.000104547,-0.032542,-2.84557,0.0525005
1.11758,0.000105693,-0.0327563,-2.84473,0.0527046
1.1204,0.000106849,-0.0329712,-2.84388,0.0529089
1.12323,0.000108015,-0.0331867,-2.84303,0.0531136
1.12605,0.00010919,-0.0334028,-2.84218,0.0533186
1.12887,0.000110375,-0.0336196,-2.84134,0.0535239
1.13169,0.000111569,-0.033837,-2.84049,0.0537294
1.13451,0.000112774,-0.034055,-2.83965,0.0539353
1.13733,0.000113988,-0.0342735,-2.8388,0.0541415
1.14015,0.000115212,-0.0344928,-2.83795,0.0543479
1.14297,0.000116446,-0.0347126,-2.83711,0.0545547
1.14579,0.00011769,-0.034933,-2.83626,0.0547617
1.1486,0.000118944,-0.035154,-2.83542,0.0549691
1.15142,0.000120208,-0.0353756,-2.83457,0.0551768
1.15423,0.000121482,-0.0355979,-2.83373,0.0553847
1.15705,0.000122766,-0.0358207,-2.83289,0.055593
1.15986,0.000124061,-0.0360442,-2.83204,0.0558015
1.16267,0.000125366,-0.0362682,-2.8312,0.0560103
1.16549,0.000126681,-0.0364928,-2.83035,0.0562195
1.1683,0.000128007,-0.0367181,-2.82951,0.0564289
1.17111,0.000129343,-0.0369439,-2.82867,0.0566386
1.17391,0.00013069,-0.0371703,-2.82783,0.0568487
1.17672,0.000132048,-0.0373973,-2.82698,0.057059
1.17953,0.000133416,-0.0376249,-2.82614,0.0572696
1.18234,0.000134795,-0.0378531,-2.8253,0.0574805
1.18514,0.000136184,-0.0380819,-2.82446,0.0576917
1.18795,0.000137584,-0.0383113,-2.82362,0.0579032
1.19075,0.000138996,-0.0385412,-2.82278,0.058115
1.19355,0.000140418,-0.0387718,-2.82193,0.0583271
1.19636,0.000141851,-0.0390029,-2.82109,0.0585395
1.19916,0.000143295,-0.0392346,-2.82025,0.0587521
1.20196,0.000144751,-0.0394669,-2.81941,0.0589651
1.20476,0.000146217,-0.0396997,-2.81857,0.0591783
1.20756,0.000147695,-0.0399332,-2.81773,0.0593919
1.21035,0.000149184,-0.0401672,-2.81689,0.0596057
1.21315,0.000150685,-0.0404018,-2.81605,0.0598199
1.21595,0.000152197,-0.0406369,-2.81522,0.0600343
1.21874,0.00015372,-0.0408727,-2.81438,0.060249
1.22154,0.000155255,-0.041109,-2.81354,0.060464
1.22433,0.000156801,-0.0413458,-2.8127,0.0606793
1.22713,0.000158359,-0.0415833,-2.81186,0.0608949
1.22992,0.000159929,-0.0418213,-2.81102,0.0611107
1.23271,0.000161511,-0.0420599,-2.81019,0.0613269
1.2355,0.000163104,-0.042299,-2.80935,0.0615433
1.23829,0.000164709,-0.0425387,-2.80851,0.0617601
1.24108,0.000166327,-0.042779,-2.80768,0.0619771
1.24387,0.000167956,-0.0430198,-2.80684,0.0621944
1.24666,0.000169597,-0.0432612,-2.806,0.062412
1.24944,0.000171251,-0.0435032,-2.80517,0.0626299
1.25223,0.000172916,-0.0437457,-2.80433,0.0628481
1.25501,0.000174594,-0.0439887,-2.8035,0.0630666
1.2578,0.000176284,-0.0442323,-2.80266,0.0632853
1.26058,0.000177987,-0.0444765,-2.80183,0.0635044
1.26336,0.000179702,-0.0447212,-2.80099,0.0637237
1.26614,0.000181429,-0.0449665,-2.80016,0.0639433
1.26893,0.000183169,-0.0452123,-2.79932,0.0641632
1.27171,0.000184922,-0.0454587,-2.79849,0.0643834
1.27449,0.000186687,-0.0457056,-2.79765,0.0646039
1.27726,0.000188465,-0.045953,-2.79682,0.0648246
1.28004,0.000190256,-0.046201,-2.79599,0.0650457
1.28282,0.00019206,-0.0464496,-2.79515,0.065267
1.28559,0.000193877,-0.0466987,-2.79432,0.0654886
1.28837,0.000195706,-0.0469483,-2.79349,0.0657105
1.29114,0.000197549,-0.0471985,-2.79266,0.0659327
